drug_id,0,1,2,3,4,5,6,7
CHEMBL1087421,-0.06500710546970367,0.17291709780693054,0.3073262870311737,0.514627993106842,0.17831797897815704,0.09950543940067291,0.27173474431037903,-0.05453631281852722
CHEMBL1088633,0.04164858162403107,0.13292059302330017,0.36522191762924194,0.5783498287200928,0.13343623280525208,0.03241335600614548,0.1746925264596939,0.017467230558395386
CHEMBL1090360,0.22736603021621704,0.02172878384590149,0.11524789035320282,0.6063106656074524,0.3607953190803528,0.20673103630542755,0.586070716381073,-0.24140122532844543
CHEMBL1688215,-0.00319608673453331,-0.0854647308588028,0.1837485432624817,0.3772507905960083,-0.09711579978466034,0.015625491738319397,0.20043203234672546,0.044440146535634995
CHEMBL1765781,-0.2345019429922104,0.34556880593299866,0.021905452013015747,0.37282252311706543,0.3160362243652344,0.30465883016586304,0.3278505802154541,-0.4594677686691284
CHEMBL1788116,0.08634181320667267,0.09104672074317932,0.2243608832359314,0.5320138931274414,0.40717613697052,0.1682654768228531,0.4584926962852478,-0.31658148765563965
CHEMBL1929238,-0.21926671266555786,0.23983974754810333,-0.0808938592672348,0.3699348270893097,0.3315023183822632,0.232866570353508,0.26878464221954346,-0.5512937307357788
CHEMBL1933552,-0.17407892644405365,0.2574477791786194,0.04690070450305939,0.24619995057582855,0.2278800755739212,0.23120585083961487,0.20847217738628387,-0.5435489416122437
CHEMBL202930,-0.01806841418147087,0.10007548332214355,0.2915273904800415,0.26902681589126587,0.22989270091056824,0.13955101370811462,0.21774230897426605,-0.18215836584568024
CHEMBL204420,-0.17407892644405365,0.2574477791786194,0.04690070450305939,0.24619995057582855,0.2278800755739212,0.23120585083961487,0.20847217738628387,-0.5435489416122437
CHEMBL206783,-0.119493767619133,0.2703487277030945,0.02893786132335663,0.2792750597000122,0.3163023591041565,0.3287721872329712,0.3224945068359375,-0.4693593382835388
CHEMBL206955,-0.049568042159080505,0.24871915578842163,0.04015500843524933,0.19435390830039978,0.2666324973106384,0.2721537947654724,0.3045656681060791,-0.43561112880706787
CHEMBL207037,0.04300345480442047,0.27965953946113586,0.1479765772819519,0.21412356197834015,0.2716754078865051,0.23090773820877075,0.2865421772003174,-0.42459335923194885
